variant,kind,rule_perms,signature
sample_0078.dl,sample,"r0=0,1,2;r1=0,2,1;r2=0,2,1;r3=1,2,0;r4=2,3,1,0;r5=0,2,3,4,1;r6=0,2,1;r7=0,3,2,1,4;r8=1,2,0",3039212d
sample_0079.dl,sample,"r0=1,2,0;r1=0,1,2;r2=0,2,1;r3=0,1,2;r4=0,1,3,2;r5=2,4,0,1,3;r6=0,2,1;r7=0,3,2,1,4;r8=0,2,1",050c5eae
sample_0080.dl,sample,"r0=0,1,2;r1=0,1,2;r2=0,2,1;r3=1,2,0;r4=0,3,2,1;r5=0,2,4,1,3;r6=0,2,1;r7=1,2,3,0,4;r8=0,2,1",4a174d60
sample_0081.dl,sample,"r0=0,2,1;r1=0,2,1;r2=0,2,1;r3=1,2,0;r4=0,1,3,2;r5=2,3,0,4,1;r6=0,1,2;r7=2,4,3,1,0;r8=1,2,0",12f8ce8c
sample_0082.dl,sample,"r0=0,1,2;r1=0,2,1;r2=0,1,2;r3=0,1,2;r4=2,3,0,1;r5=0,1,2,4,3;r6=0,1,2;r7=0,4,2,3,1;r8=0,1,2",123f7fef
sample_0083.dl,sample,"r0=0,1,2;r1=1,2,0;r2=0,1,2;r3=0,1,2;r4=0,2,1,3;r5=2,3,0,4,1;r6=1,2,0;r7=0,3,1,4,2;r8=1,2,0",6daaf0af
sample_0084.dl,sample,"r0=0,1,2;r1=0,2,1;r2=1,2,0;r3=1,2,0;r4=0,3,2,1;r5=0,2,3,4,1;r6=1,2,0;r7=2,3,1,0,4;r8=1,2,0",c708c851
sample_0085.dl,sample,"r0=1,2,0;r1=0,1,2;r2=0,1,2;r3=1,2,0;r4=0,1,3,2;r5=2,3,4,0,1;r6=0,1,2;r7=1,2,0,4,3;r8=1,2,0",ce069e2d
sample_0086.dl,sample,"r0=1,2,0;r1=0,2,1;r2=0,2,1;r3=0,1,2;r4=0,1,3,2;r5=2,3,4,0,1;r6=1,2,0;r7=2,3,4,0,1;r8=0,1,2",f880f92b
sample_0087.dl,sample,"r0=0,1,2;r1=1,2,0;r2=0,2,1;r3=0,1,2;r4=1,3,2,0;r5=2,4,3,1,0;r6=0,1,2;r7=1,2,4,0,3;r8=1,2,0",0b09b203
sample_0088.dl,sample,"r0=0,2,1;r1=1,2,0;r2=0,2,1;r3=0,1,2;r4=1,3,0,2;r5=2,4,0,1,3;r6=0,2,1;r7=0,1,2,3,4;r8=0,2,1",9dde39e2
sample_0089.dl,sample,"r0=0,2,1;r1=0,1,2;r2=0,2,1;r3=1,2,0;r4=2,3,0,1;r5=3,4,2,0,1;r6=0,2,1;r7=2,4,1,3,0;r8=0,1,2",5f19c102
sample_0090.dl,sample,"r0=0,2,1;r1=0,1,2;r2=1,2,0;r3=1,2,0;r4=1,3,2,0;r5=2,4,3,1,0;r6=1,2,0;r7=1,4,0,2,3;r8=0,2,1",75477359
sample_0091.dl,sample,"r0=0,2,1;r1=1,2,0;r2=1,2,0;r3=1,2,0;r4=0,3,2,1;r5=3,4,2,1,0;r6=0,1,2;r7=0,1,4,3,2;r8=0,2,1",28ed8975
sample_0092.dl,sample,"r0=0,2,1;r1=0,1,2;r2=0,2,1;r3=1,2,0;r4=0,3,2,1;r5=0,1,2,3,4;r6=0,2,1;r7=1,2,3,0,4;r8=0,1,2",d02d06ff
sample_0093.dl,sample,"r0=0,2,1;r1=0,1,2;r2=0,2,1;r3=1,2,0;r4=0,3,2,1;r5=1,2,0,3,4;r6=1,2,0;r7=2,4,1,0,3;r8=0,2,1",571dadbb
sample_0094.dl,sample,"r0=1,2,0;r1=0,1,2;r2=1,2,0;r3=0,1,2;r4=0,1,3,2;r5=0,2,4,3,1;r6=1,2,0;r7=1,3,2,0,4;r8=0,2,1",384fb9d5
sample_0095.dl,sample,"r0=1,2,0;r1=0,1,2;r2=1,2,0;r3=1,2,0;r4=2,3,0,1;r5=2,4,1,0,3;r6=0,2,1;r7=1,3,4,0,2;r8=0,1,2",4569a8b2
sample_0096.dl,sample,"r0=0,1,2;r1=0,2,1;r2=0,1,2;r3=1,2,0;r4=2,3,1,0;r5=0,2,4,3,1;r6=0,2,1;r7=2,4,0,1,3;r8=1,2,0",0bebe2ec
sample_0097.dl,sample,"r0=0,2,1;r1=0,2,1;r2=1,2,0;r3=1,2,0;r4=1,2,0,3;r5=2,4,1,3,0;r6=1,2,0;r7=1,2,3,4,0;r8=0,2,1",e5fcfdda
sample_0098.dl,sample,"r0=1,2,0;r1=0,2,1;r2=0,2,1;r3=1,2,0;r4=0,3,1,2;r5=0,2,4,3,1;r6=0,1,2;r7=2,4,3,0,1;r8=0,1,2",7d8f3507
sample_0099.dl,sample,"r0=0,2,1;r1=0,1,2;r2=1,2,0;r3=0,1,2;r4=0,2,3,1;r5=0,2,4,1,3;r6=1,2,0;r7=1,4,0,2,3;r8=0,2,1",88a2c40a
sample_0100.dl,sample,"r0=1,2,0;r1=1,2,0;r2=1,2,0;r3=1,2,0;r4=0,1,3,2;r5=3,4,2,0,1;r6=0,1,2;r7=1,2,0,3,4;r8=0,1,2",8391c652
