variant,kind,rule_perms,signature
ablation_r6_p02.dl,ablation,"r0=0,1,2,3;r1=0,1,2,3;r2=0,1,2;r3=0,1,2;r4=0,1,2;r5=0,1,2;r6=0,2,1,3;r7=0,1,2;r8=0,1,2;r9=0,1,2;r10=0,1,2,3;r11=0,1,2,3;r12=0,1,2;r13=0,1,2,3,4;r14=0,1,2;r15=0,1,2,3,4;r16=0,1,2;r17=0,1,2;r18=0,1,2;r19=0,1,2;r20=0,1,2;r21=0,1,2,3,4;r22=0,1,2,3,4,5,6,7;r23=0,1,2,3,4,5,6,7;r24=0,1,2,3;r25=0,1,2;r26=0,1,2,3,4,5,6,7,8;r27=0,1,2,3;r28=0,1,2;r29=0,1,2,3,4,5,6,7;r30=0,1,2,3,4,5,6,7;r31=0,1,2,3,4,5;r32=0,1,2,3,4,5;r33=0,1,2,3,4,5",f04cde92
ablation_r6_p03.dl,ablation,"r0=0,1,2,3;r1=0,1,2,3;r2=0,1,2;r3=0,1,2;r4=0,1,2;r5=0,1,2;r6=0,2,3,1;r7=0,1,2;r8=0,1,2;r9=0,1,2;r10=0,1,2,3;r11=0,1,2,3;r12=0,1,2;r13=0,1,2,3,4;r14=0,1,2;r15=0,1,2,3,4;r16=0,1,2;r17=0,1,2;r18=0,1,2;r19=0,1,2;r20=0,1,2;r21=0,1,2,3,4;r22=0,1,2,3,4,5,6,7;r23=0,1,2,3,4,5,6,7;r24=0,1,2,3;r25=0,1,2;r26=0,1,2,3,4,5,6,7,8;r27=0,1,2,3;r28=0,1,2;r29=0,1,2,3,4,5,6,7;r30=0,1,2,3,4,5,6,7;r31=0,1,2,3,4,5;r32=0,1,2,3,4,5;r33=0,1,2,3,4,5",b27b90ef
ablation_r6_p04.dl,ablation,"r0=0,1,2,3;r1=0,1,2,3;r2=0,1,2;r3=0,1,2;r4=0,1,2;r5=0,1,2;r6=0,3,1,2;r7=0,1,2;r8=0,1,2;r9=0,1,2;r10=0,1,2,3;r11=0,1,2,3;r12=0,1,2;r13=0,1,2,3,4;r14=0,1,2;r15=0,1,2,3,4;r16=0,1,2;r17=0,1,2;r18=0,1,2;r19=0,1,2;r20=0,1,2;r21=0,1,2,3,4;r22=0,1,2,3,4,5,6,7;r23=0,1,2,3,4,5,6,7;r24=0,1,2,3;r25=0,1,2;r26=0,1,2,3,4,5,6,7,8;r27=0,1,2,3;r28=0,1,2;r29=0,1,2,3,4,5,6,7;r30=0,1,2,3,4,5,6,7;r31=0,1,2,3,4,5;r32=0,1,2,3,4,5;r33=0,1,2,3,4,5",b1b57c09
ablation_r6_p05.dl,ablation,"r0=0,1,2,3;r1=0,1,2,3;r2=0,1,2;r3=0,1,2;r4=0,1,2;r5=0,1,2;r6=0,3,2,1;r7=0,1,2;r8=0,1,2;r9=0,1,2;r10=0,1,2,3;r11=0,1,2,3;r12=0,1,2;r13=0,1,2,3,4;r14=0,1,2;r15=0,1,2,3,4;r16=0,1,2;r17=0,1,2;r18=0,1,2;r19=0,1,2;r20=0,1,2;r21=0,1,2,3,4;r22=0,1,2,3,4,5,6,7;r23=0,1,2,3,4,5,6,7;r24=0,1,2,3;r25=0,1,2;r26=0,1,2,3,4,5,6,7,8;r27=0,1,2,3;r28=0,1,2;r29=0,1,2,3,4,5,6,7;r30=0,1,2,3,4,5,6,7;r31=0,1,2,3,4,5;r32=0,1,2,3,4,5;r33=0,1,2,3,4,5",20b854eb
ablation_r6_p06.dl,ablation,"r0=0,1,2,3;r1=0,1,2,3;r2=0,1,2;r3=0,1,2;r4=0,1,2;r5=0,1,2;r6=1,2,0,3;r7=0,1,2;r8=0,1,2;r9=0,1,2;r10=0,1,2,3;r11=0,1,2,3;r12=0,1,2;r13=0,1,2,3,4;r14=0,1,2;r15=0,1,2,3,4;r16=0,1,2;r17=0,1,2;r18=0,1,2;r19=0,1,2;r20=0,1,2;r21=0,1,2,3,4;r22=0,1,2,3,4,5,6,7;r23=0,1,2,3,4,5,6,7;r24=0,1,2,3;r25=0,1,2;r26=0,1,2,3,4,5,6,7,8;r27=0,1,2,3;r28=0,1,2;r29=0,1,2,3,4,5,6,7;r30=0,1,2,3,4,5,6,7;r31=0,1,2,3,4,5;r32=0,1,2,3,4,5;r33=0,1,2,3,4,5",4d3cf9bf
ablation_r6_p07.dl,ablation,"r0=0,1,2,3;r1=0,1,2,3;r2=0,1,2;r3=0,1,2;r4=0,1,2;r5=0,1,2;r6=1,2,3,0;r7=0,1,2;r8=0,1,2;r9=0,1,2;r10=0,1,2,3;r11=0,1,2,3;r12=0,1,2;r13=0,1,2,3,4;r14=0,1,2;r15=0,1,2,3,4;r16=0,1,2;r17=0,1,2;r18=0,1,2;r19=0,1,2;r20=0,1,2;r21=0,1,2,3,4;r22=0,1,2,3,4,5,6,7;r23=0,1,2,3,4,5,6,7;r24=0,1,2,3;r25=0,1,2;r26=0,1,2,3,4,5,6,7,8;r27=0,1,2,3;r28=0,1,2;r29=0,1,2,3,4,5,6,7;r30=0,1,2,3,4,5,6,7;r31=0,1,2,3,4,5;r32=0,1,2,3,4,5;r33=0,1,2,3,4,5",8dc5a1ae
ablation_r6_p08.dl,ablation,"r0=0,1,2,3;r1=0,1,2,3;r2=0,1,2;r3=0,1,2;r4=0,1,2;r5=0,1,2;r6=1,3,0,2;r7=0,1,2;r8=0,1,2;r9=0,1,2;r10=0,1,2,3;r11=0,1,2,3;r12=0,1,2;r13=0,1,2,3,4;r14=0,1,2;r15=0,1,2,3,4;r16=0,1,2;r17=0,1,2;r18=0,1,2;r19=0,1,2;r20=0,1,2;r21=0,1,2,3,4;r22=0,1,2,3,4,5,6,7;r23=0,1,2,3,4,5,6,7;r24=0,1,2,3;r25=0,1,2;r26=0,1,2,3,4,5,6,7,8;r27=0,1,2,3;r28=0,1,2;r29=0,1,2,3,4,5,6,7;r30=0,1,2,3,4,5,6,7;r31=0,1,2,3,4,5;r32=0,1,2,3,4,5;r33=0,1,2,3,4,5",a8b47956
ablation_r6_p09.dl,ablation,"r0=0,1,2,3;r1=0,1,2,3;r2=0,1,2;r3=0,1,2;r4=0,1,2;r5=0,1,2;r6=1,3,2,0;r7=0,1,2;r8=0,1,2;r9=0,1,2;r10=0,1,2,3;r11=0,1,2,3;r12=0,1,2;r13=0,1,2,3,4;r14=0,1,2;r15=0,1,2,3,4;r16=0,1,2;r17=0,1,2;r18=0,1,2;r19=0,1,2;r20=0,1,2;r21=0,1,2,3,4;r22=0,1,2,3,4,5,6,7;r23=0,1,2,3,4,5,6,7;r24=0,1,2,3;r25=0,1,2;r26=0,1,2,3,4,5,6,7,8;r27=0,1,2,3;r28=0,1,2;r29=0,1,2,3,4,5,6,7;r30=0,1,2,3,4,5,6,7;r31=0,1,2,3,4,5;r32=0,1,2,3,4,5;r33=0,1,2,3,4,5",5eeb215c
ablation_r6_p10.dl,ablation,"r0=0,1,2,3;r1=0,1,2,3;r2=0,1,2;r3=0,1,2;r4=0,1,2;r5=0,1,2;r6=2,3,0,1;r7=0,1,2;r8=0,1,2;r9=0,1,2;r10=0,1,2,3;r11=0,1,2,3;r12=0,1,2;r13=0,1,2,3,4;r14=0,1,2;r15=0,1,2,3,4;r16=0,1,2;r17=0,1,2;r18=0,1,2;r19=0,1,2;r20=0,1,2;r21=0,1,2,3,4;r22=0,1,2,3,4,5,6,7;r23=0,1,2,3,4,5,6,7;r24=0,1,2,3;r25=0,1,2;r26=0,1,2,3,4,5,6,7,8;r27=0,1,2,3;r28=0,1,2;r29=0,1,2,3,4,5,6,7;r30=0,1,2,3,4,5,6,7;r31=0,1,2,3,4,5;r32=0,1,2,3,4,5;r33=0,1,2,3,4,5",1796e210
ablation_r6_p11.dl,ablation,"r0=0,1,2,3;r1=0,1,2,3;r2=0,1,2;r3=0,1,2;r4=0,1,2;r5=0,1,2;r6=2,3,1,0;r7=0,1,2;r8=0,1,2;r9=0,1,2;r10=0,1,2,3;r11=0,1,2,3;r12=0,1,2;r13=0,1,2,3,4;r14=0,1,2;r15=0,1,2,3,4;r16=0,1,2;r17=0,1,2;r18=0,1,2;r19=0,1,2;r20=0,1,2;r21=0,1,2,3,4;r22=0,1,2,3,4,5,6,7;r23=0,1,2,3,4,5,6,7;r24=0,1,2,3;r25=0,1,2;r26=0,1,2,3,4,5,6,7,8;r27=0,1,2,3;r28=0,1,2;r29=0,1,2,3,4,5,6,7;r30=0,1,2,3,4,5,6,7;r31=0,1,2,3,4,5;r32=0,1,2,3,4,5;r33=0,1,2,3,4,5",029fdc01
ablation_r7_p01.dl,ablation,"r0=0,1,2,3;r1=0,1,2,3;r2=0,1,2;r3=0,1,2;r4=0,1,2;r5=0,1,2;r6=0,1,2,3;r7=0,2,1;r8=0,1,2;r9=0,1,2;r10=0,1,2,3;r11=0,1,2,3;r12=0,1,2;r13=0,1,2,3,4;r14=0,1,2;r15=0,1,2,3,4;r16=0,1,2;r17=0,1,2;r18=0,1,2;r19=0,1,2;r20=0,1,2;r21=0,1,2,3,4;r22=0,1,2,3,4,5,6,7;r23=0,1,2,3,4,5,6,7;r24=0,1,2,3;r25=0,1,2;r26=0,1,2,3,4,5,6,7,8;r27=0,1,2,3;r28=0,1,2;r29=0,1,2,3,4,5,6,7;r30=0,1,2,3,4,5,6,7;r31=0,1,2,3,4,5;r32=0,1,2,3,4,5;r33=0,1,2,3,4,5",2182a1b7
ablation_r7_p02.dl,ablation,"r0=0,1,2,3;r1=0,1,2,3;r2=0,1,2;r3=0,1,2;r4=0,1,2;r5=0,1,2;r6=0,1,2,3;r7=1,2,0;r8=0,1,2;r9=0,1,2;r10=0,1,2,3;r11=0,1,2,3;r12=0,1,2;r13=0,1,2,3,4;r14=0,1,2;r15=0,1,2,3,4;r16=0,1,2;r17=0,1,2;r18=0,1,2;r19=0,1,2;r20=0,1,2;r21=0,1,2,3,4;r22=0,1,2,3,4,5,6,7;r23=0,1,2,3,4,5,6,7;r24=0,1,2,3;r25=0,1,2;r26=0,1,2,3,4,5,6,7,8;r27=0,1,2,3;r28=0,1,2;r29=0,1,2,3,4,5,6,7;r30=0,1,2,3,4,5,6,7;r31=0,1,2,3,4,5;r32=0,1,2,3,4,5;r33=0,1,2,3,4,5",3aebe72a
ablation_r8_p01.dl,ablation,"r0=0,1,2,3;r1=0,1,2,3;r2=0,1,2;r3=0,1,2;r4=0,1,2;r5=0,1,2;r6=0,1,2,3;r7=0,1,2;r8=0,2,1;r9=0,1,2;r10=0,1,2,3;r11=0,1,2,3;r12=0,1,2;r13=0,1,2,3,4;r14=0,1,2;r15=0,1,2,3,4;r16=0,1,2;r17=0,1,2;r18=0,1,2;r19=0,1,2;r20=0,1,2;r21=0,1,2,3,4;r22=0,1,2,3,4,5,6,7;r23=0,1,2,3,4,5,6,7;r24=0,1,2,3;r25=0,1,2;r26=0,1,2,3,4,5,6,7,8;r27=0,1,2,3;r28=0,1,2;r29=0,1,2,3,4,5,6,7;r30=0,1,2,3,4,5,6,7;r31=0,1,2,3,4,5;r32=0,1,2,3,4,5;r33=0,1,2,3,4,5",aa999849
ablation_r8_p02.dl,ablation,"r0=0,1,2,3;r1=0,1,2,3;r2=0,1,2;r3=0,1,2;r4=0,1,2;r5=0,1,2;r6=0,1,2,3;r7=0,1,2;r8=1,2,0;r9=0,1,2;r10=0,1,2,3;r11=0,1,2,3;r12=0,1,2;r13=0,1,2,3,4;r14=0,1,2;r15=0,1,2,3,4;r16=0,1,2;r17=0,1,2;r18=0,1,2;r19=0,1,2;r20=0,1,2;r21=0,1,2,3,4;r22=0,1,2,3,4,5,6,7;r23=0,1,2,3,4,5,6,7;r24=0,1,2,3;r25=0,1,2;r26=0,1,2,3,4,5,6,7,8;r27=0,1,2,3;r28=0,1,2;r29=0,1,2,3,4,5,6,7;r30=0,1,2,3,4,5,6,7;r31=0,1,2,3,4,5;r32=0,1,2,3,4,5;r33=0,1,2,3,4,5",ad853c16
ablation_r9_p01.dl,ablation,"r0=0,1,2,3;r1=0,1,2,3;r2=0,1,2;r3=0,1,2;r4=0,1,2;r5=0,1,2;r6=0,1,2,3;r7=0,1,2;r8=0,1,2;r9=0,2,1;r10=0,1,2,3;r11=0,1,2,3;r12=0,1,2;r13=0,1,2,3,4;r14=0,1,2;r15=0,1,2,3,4;r16=0,1,2;r17=0,1,2;r18=0,1,2;r19=0,1,2;r20=0,1,2;r21=0,1,2,3,4;r22=0,1,2,3,4,5,6,7;r23=0,1,2,3,4,5,6,7;r24=0,1,2,3;r25=0,1,2;r26=0,1,2,3,4,5,6,7,8;r27=0,1,2,3;r28=0,1,2;r29=0,1,2,3,4,5,6,7;r30=0,1,2,3,4,5,6,7;r31=0,1,2,3,4,5;r32=0,1,2,3,4,5;r33=0,1,2,3,4,5",1587587e
ablation_r9_p02.dl,ablation,"r0=0,1,2,3;r1=0,1,2,3;r2=0,1,2;r3=0,1,2;r4=0,1,2;r5=0,1,2;r6=0,1,2,3;r7=0,1,2;r8=0,1,2;r9=1,2,0;r10=0,1,2,3;r11=0,1,2,3;r12=0,1,2;r13=0,1,2,3,4;r14=0,1,2;r15=0,1,2,3,4;r16=0,1,2;r17=0,1,2;r18=0,1,2;r19=0,1,2;r20=0,1,2;r21=0,1,2,3,4;r22=0,1,2,3,4,5,6,7;r23=0,1,2,3,4,5,6,7;r24=0,1,2,3;r25=0,1,2;r26=0,1,2,3,4,5,6,7,8;r27=0,1,2,3;r28=0,1,2;r29=0,1,2,3,4,5,6,7;r30=0,1,2,3,4,5,6,7;r31=0,1,2,3,4,5;r32=0,1,2,3,4,5;r33=0,1,2,3,4,5",c8a5be0d
ablation_r10_p01.dl,ablation,"r0=0,1,2,3;r1=0,1,2,3;r2=0,1,2;r3=0,1,2;r4=0,1,2;r5=0,1,2;r6=0,1,2,3;r7=0,1,2;r8=0,1,2;r9=0,1,2;r10=0,1,3,2;r11=0,1,2,3;r12=0,1,2;r13=0,1,2,3,4;r14=0,1,2;r15=0,1,2,3,4;r16=0,1,2;r17=0,1,2;r18=0,1,2;r19=0,1,2;r20=0,1,2;r21=0,1,2,3,4;r22=0,1,2,3,4,5,6,7;r23=0,1,2,3,4,5,6,7;r24=0,1,2,3;r25=0,1,2;r26=0,1,2,3,4,5,6,7,8;r27=0,1,2,3;r28=0,1,2;r29=0,1,2,3,4,5,6,7;r30=0,1,2,3,4,5,6,7;r31=0,1,2,3,4,5;r32=0,1,2,3,4,5;r33=0,1,2,3,4,5",59cca38e
ablation_r10_p02.dl,ablation,"r0=0,1,2,3;r1=0,1,2,3;r2=0,1,2;r3=0,1,2;r4=0,1,2;r5=0,1,2;r6=0,1,2,3;r7=0,1,2;r8=0,1,2;r9=0,1,2;r10=1,2,0,3;r11=0,1,2,3;r12=0,1,2;r13=0,1,2,3,4;r14=0,1,2;r15=0,1,2,3,4;r16=0,1,2;r17=0,1,2;r18=0,1,2;r19=0,1,2;r20=0,1,2;r21=0,1,2,3,4;r22=0,1,2,3,4,5,6,7;r23=0,1,2,3,4,5,6,7;r24=0,1,2,3;r25=0,1,2;r26=0,1,2,3,4,5,6,7,8;r27=0,1,2,3;r28=0,1,2;r29=0,1,2,3,4,5,6,7;r30=0,1,2,3,4,5,6,7;r31=0,1,2,3,4,5;r32=0,1,2,3,4,5;r33=0,1,2,3,4,5",561cc16a
ablation_r10_p03.dl,ablation,"r0=0,1,2,3;r1=0,1,2,3;r2=0,1,2;r3=0,1,2;r4=0,1,2;r5=0,1,2;r6=0,1,2,3;r7=0,1,2;r8=0,1,2;r9=0,1,2;r10=1,2,3,0;r11=0,1,2,3;r12=0,1,2;r13=0,1,2,3,4;r14=0,1,2;r15=0,1,2,3,4;r16=0,1,2;r17=0,1,2;r18=0,1,2;r19=0,1,2;r20=0,1,2;r21=0,1,2,3,4;r22=0,1,2,3,4,5,6,7;r23=0,1,2,3,4,5,6,7;r24=0,1,2,3;r25=0,1,2;r26=0,1,2,3,4,5,6,7,8;r27=0,1,2,3;r28=0,1,2;r29=0,1,2,3,4,5,6,7;r30=0,1,2,3,4,5,6,7;r31=0,1,2,3,4,5;r32=0,1,2,3,4,5;r33=0,1,2,3,4,5",64aafbfa
ablation_r10_p04.dl,ablation,"r0=0,1,2,3;r1=0,1,2,3;r2=0,1,2;r3=0,1,2;r4=0,1,2;r5=0,1,2;r6=0,1,2,3;r7=0,1,2;r8=0,1,2;r9=0,1,2;r10=1,3,0,2;r11=0,1,2,3;r12=0,1,2;r13=0,1,2,3,4;r14=0,1,2;r15=0,1,2,3,4;r16=0,1,2;r17=0,1,2;r18=0,1,2;r19=0,1,2;r20=0,1,2;r21=0,1,2,3,4;r22=0,1,2,3,4,5,6,7;r23=0,1,2,3,4,5,6,7;r24=0,1,2,3;r25=0,1,2;r26=0,1,2,3,4,5,6,7,8;r27=0,1,2,3;r28=0,1,2;r29=0,1,2,3,4,5,6,7;r30=0,1,2,3,4,5,6,7;r31=0,1,2,3,4,5;r32=0,1,2,3,4,5;r33=0,1,2,3,4,5",914afef6
ablation_r10_p05.dl,ablation,"r0=0,1,2,3;r1=0,1,2,3;r2=0,1,2;r3=0,1,2;r4=0,1,2;r5=0,1,2;r6=0,1,2,3;r7=0,1,2;r8=0,1,2;r9=0,1,2;r10=1,3,2,0;r11=0,1,2,3;r12=0,1,2;r13=0,1,2,3,4;r14=0,1,2;r15=0,1,2,3,4;r16=0,1,2;r17=0,1,2;r18=0,1,2;r19=0,1,2;r20=0,1,2;r21=0,1,2,3,4;r22=0,1,2,3,4,5,6,7;r23=0,1,2,3,4,5,6,7;r24=0,1,2,3;r25=0,1,2;r26=0,1,2,3,4,5,6,7,8;r27=0,1,2,3;r28=0,1,2;r29=0,1,2,3,4,5,6,7;r30=0,1,2,3,4,5,6,7;r31=0,1,2,3,4,5;r32=0,1,2,3,4,5;r33=0,1,2,3,4,5",a64e1af3
ablation_r10_p06.dl,ablation,"r0=0,1,2,3;r1=0,1,2,3;r2=0,1,2;r3=0,1,2;r4=0,1,2;r5=0,1,2;r6=0,1,2,3;r7=0,1,2;r8=0,1,2;r9=0,1,2;r10=2,3,1,0;r11=0,1,2,3;r12=0,1,2;r13=0,1,2,3,4;r14=0,1,2;r15=0,1,2,3,4;r16=0,1,2;r17=0,1,2;r18=0,1,2;r19=0,1,2;r20=0,1,2;r21=0,1,2,3,4;r22=0,1,2,3,4,5,6,7;r23=0,1,2,3,4,5,6,7;r24=0,1,2,3;r25=0,1,2;r26=0,1,2,3,4,5,6,7,8;r27=0,1,2,3;r28=0,1,2;r29=0,1,2,3,4,5,6,7;r30=0,1,2,3,4,5,6,7;r31=0,1,2,3,4,5;r32=0,1,2,3,4,5;r33=0,1,2,3,4,5",35a41c75
ablation_r11_p01.dl,ablation,"r0=0,1,2,3;r1=0,1,2,3;r2=0,1,2;r3=0,1,2;r4=0,1,2;r5=0,1,2;r6=0,1,2,3;r7=0,1,2;r8=0,1,2;r9=0,1,2;r10=0,1,2,3;r11=0,1,3,2;r12=0,1,2;r13=0,1,2,3,4;r14=0,1,2;r15=0,1,2,3,4;r16=0,1,2;r17=0,1,2;r18=0,1,2;r19=0,1,2;r20=0,1,2;r21=0,1,2,3,4;r22=0,1,2,3,4,5,6,7;r23=0,1,2,3,4,5,6,7;r24=0,1,2,3;r25=0,1,2;r26=0,1,2,3,4,5,6,7,8;r27=0,1,2,3;r28=0,1,2;r29=0,1,2,3,4,5,6,7;r30=0,1,2,3,4,5,6,7;r31=0,1,2,3,4,5;r32=0,1,2,3,4,5;r33=0,1,2,3,4,5",90c25b61
ablation_r11_p02.dl,ablation,"r0=0,1,2,3;r1=0,1,2,3;r2=0,1,2;r3=0,1,2;r4=0,1,2;r5=0,1,2;r6=0,1,2,3;r7=0,1,2;r8=0,1,2;r9=0,1,2;r10=0,1,2,3;r11=1,2,0,3;r12=0,1,2;r13=0,1,2,3,4;r14=0,1,2;r15=0,1,2,3,4;r16=0,1,2;r17=0,1,2;r18=0,1,2;r19=0,1,2;r20=0,1,2;r21=0,1,2,3,4;r22=0,1,2,3,4,5,6,7;r23=0,1,2,3,4,5,6,7;r24=0,1,2,3;r25=0,1,2;r26=0,1,2,3,4,5,6,7,8;r27=0,1,2,3;r28=0,1,2;r29=0,1,2,3,4,5,6,7;r30=0,1,2,3,4,5,6,7;r31=0,1,2,3,4,5;r32=0,1,2,3,4,5;r33=0,1,2,3,4,5",5581211d
ablation_r11_p03.dl,ablation,"r0=0,1,2,3;r1=0,1,2,3;r2=0,1,2;r3=0,1,2;r4=0,1,2;r5=0,1,2;r6=0,1,2,3;r7=0,1,2;r8=0,1,2;r9=0,1,2;r10=0,1,2,3;r11=1,2,3,0;r12=0,1,2;r13=0,1,2,3,4;r14=0,1,2;r15=0,1,2,3,4;r16=0,1,2;r17=0,1,2;r18=0,1,2;r19=0,1,2;r20=0,1,2;r21=0,1,2,3,4;r22=0,1,2,3,4,5,6,7;r23=0,1,2,3,4,5,6,7;r24=0,1,2,3;r25=0,1,2;r26=0,1,2,3,4,5,6,7,8;r27=0,1,2,3;r28=0,1,2;r29=0,1,2,3,4,5,6,7;r30=0,1,2,3,4,5,6,7;r31=0,1,2,3,4,5;r32=0,1,2,3,4,5;r33=0,1,2,3,4,5",f2ed476f
ablation_r11_p04.dl,ablation,"r0=0,1,2,3;r1=0,1,2,3;r2=0,1,2;r3=0,1,2;r4=0,1,2;r5=0,1,2;r6=0,1,2,3;r7=0,1,2;r8=0,1,2;r9=0,1,2;r10=0,1,2,3;r11=1,3,0,2;r12=0,1,2;r13=0,1,2,3,4;r14=0,1,2;r15=0,1,2,3,4;r16=0,1,2;r17=0,1,2;r18=0,1,2;r19=0,1,2;r20=0,1,2;r21=0,1,2,3,4;r22=0,1,2,3,4,5,6,7;r23=0,1,2,3,4,5,6,7;r24=0,1,2,3;r25=0,1,2;r26=0,1,2,3,4,5,6,7,8;r27=0,1,2,3;r28=0,1,2;r29=0,1,2,3,4,5,6,7;r30=0,1,2,3,4,5,6,7;r31=0,1,2,3,4,5;r32=0,1,2,3,4,5;r33=0,1,2,3,4,5",846ecac3
ablation_r11_p05.dl,ablation,"r0=0,1,2,3;r1=0,1,2,3;r2=0,1,2;r3=0,1,2;r4=0,1,2;r5=0,1,2;r6=0,1,2,3;r7=0,1,2;r8=0,1,2;r9=0,1,2;r10=0,1,2,3;r11=1,3,2,0;r12=0,1,2;r13=0,1,2,3,4;r14=0,1,2;r15=0,1,2,3,4;r16=0,1,2;r17=0,1,2;r18=0,1,2;r19=0,1,2;r20=0,1,2;r21=0,1,2,3,4;r22=0,1,2,3,4,5,6,7;r23=0,1,2,3,4,5,6,7;r24=0,1,2,3;r25=0,1,2;r26=0,1,2,3,4,5,6,7,8;r27=0,1,2,3;r28=0,1,2;r29=0,1,2,3,4,5,6,7;r30=0,1,2,3,4,5,6,7;r31=0,1,2,3,4,5;r32=0,1,2,3,4,5;r33=0,1,2,3,4,5",f2365b4b
ablation_r11_p06.dl,ablation,"r0=0,1,2,3;r1=0,1,2,3;r2=0,1,2;r3=0,1,2;r4=0,1,2;r5=0,1,2;r6=0,1,2,3;r7=0,1,2;r8=0,1,2;r9=0,1,2;r10=0,1,2,3;r11=2,3,1,0;r12=0,1,2;r13=0,1,2,3,4;r14=0,1,2;r15=0,1,2,3,4;r16=0,1,2;r17=0,1,2;r18=0,1,2;r19=0,1,2;r20=0,1,2;r21=0,1,2,3,4;r22=0,1,2,3,4,5,6,7;r23=0,1,2,3,4,5,6,7;r24=0,1,2,3;r25=0,1,2;r26=0,1,2,3,4,5,6,7,8;r27=0,1,2,3;r28=0,1,2;r29=0,1,2,3,4,5,6,7;r30=0,1,2,3,4,5,6,7;r31=0,1,2,3,4,5;r32=0,1,2,3,4,5;r33=0,1,2,3,4,5",7efb5110
ablation_r12_p01.dl,ablation,"r0=0,1,2,3;r1=0,1,2,3;r2=0,1,2;r3=0,1,2;r4=0,1,2;r5=0,1,2;r6=0,1,2,3;r7=0,1,2;r8=0,1,2;r9=0,1,2;r10=0,1,2,3;r11=0,1,2,3;r12=0,2,1;r13=0,1,2,3,4;r14=0,1,2;r15=0,1,2,3,4;r16=0,1,2;r17=0,1,2;r18=0,1,2;r19=0,1,2;r20=0,1,2;r21=0,1,2,3,4;r22=0,1,2,3,4,5,6,7;r23=0,1,2,3,4,5,6,7;r24=0,1,2,3;r25=0,1,2;r26=0,1,2,3,4,5,6,7,8;r27=0,1,2,3;r28=0,1,2;r29=0,1,2,3,4,5,6,7;r30=0,1,2,3,4,5,6,7;r31=0,1,2,3,4,5;r32=0,1,2,3,4,5;r33=0,1,2,3,4,5",0f7255fe
ablation_r12_p02.dl,ablation,"r0=0,1,2,3;r1=0,1,2,3;r2=0,1,2;r3=0,1,2;r4=0,1,2;r5=0,1,2;r6=0,1,2,3;r7=0,1,2;r8=0,1,2;r9=0,1,2;r10=0,1,2,3;r11=0,1,2,3;r12=1,2,0;r13=0,1,2,3,4;r14=0,1,2;r15=0,1,2,3,4;r16=0,1,2;r17=0,1,2;r18=0,1,2;r19=0,1,2;r20=0,1,2;r21=0,1,2,3,4;r22=0,1,2,3,4,5,6,7;r23=0,1,2,3,4,5,6,7;r24=0,1,2,3;r25=0,1,2;r26=0,1,2,3,4,5,6,7,8;r27=0,1,2,3;r28=0,1,2;r29=0,1,2,3,4,5,6,7;r30=0,1,2,3,4,5,6,7;r31=0,1,2,3,4,5;r32=0,1,2,3,4,5;r33=0,1,2,3,4,5",51a1b7e3
ablation_r13_p01.dl,ablation,"r0=0,1,2,3;r1=0,1,2,3;r2=0,1,2;r3=0,1,2;r4=0,1,2;r5=0,1,2;r6=0,1,2,3;r7=0,1,2;r8=0,1,2;r9=0,1,2;r10=0,1,2,3;r11=0,1,2,3;r12=0,1,2;r13=0,4,2,3,1;r14=0,1,2;r15=0,1,2,3,4;r16=0,1,2;r17=0,1,2;r18=0,1,2;r19=0,1,2;r20=0,1,2;r21=0,1,2,3,4;r22=0,1,2,3,4,5,6,7;r23=0,1,2,3,4,5,6,7;r24=0,1,2,3;r25=0,1,2;r26=0,1,2,3,4,5,6,7,8;r27=0,1,2,3;r28=0,1,2;r29=0,1,2,3,4,5,6,7;r30=0,1,2,3,4,5,6,7;r31=0,1,2,3,4,5;r32=0,1,2,3,4,5;r33=0,1,2,3,4,5",c808fa2f
ablation_r13_p02.dl,ablation,"r0=0,1,2,3;r1=0,1,2,3;r2=0,1,2;r3=0,1,2;r4=0,1,2;r5=0,1,2;r6=0,1,2,3;r7=0,1,2;r8=0,1,2;r9=0,1,2;r10=0,1,2,3;r11=0,1,2,3;r12=0,1,2;r13=0,1,4,2,3;r14=0,1,2;r15=0,1,2,3,4;r16=0,1,2;r17=0,1,2;r18=0,1,2;r19=0,1,2;r20=0,1,2;r21=0,1,2,3,4;r22=0,1,2,3,4,5,6,7;r23=0,1,2,3,4,5,6,7;r24=0,1,2,3;r25=0,1,2;r26=0,1,2,3,4,5,6,7,8;r27=0,1,2,3;r28=0,1,2;r29=0,1,2,3,4,5,6,7;r30=0,1,2,3,4,5,6,7;r31=0,1,2,3,4,5;r32=0,1,2,3,4,5;r33=0,1,2,3,4,5",c3d65d16
